date,equity
2021-07-09,10000.00
2021-07-10,10000.00
2021-07-11,10030.88
2021-07-12,10144.57
2021-07-13,10192.13
2021-07-14,10569.88
2021-07-15,11084.18
2021-07-16,11550.26
2021-07-17,11922.06
2021-07-18,12198.12
2021-07-19,12106.14
2021-07-20,12361.49
2021-07-21,12361.49
2021-07-22,12361.49
2021-07-23,12361.49
2021-07-24,12361.49
2021-07-25,12361.49
2021-07-26,12361.49
2021-07-27,12361.49
2021-07-28,12361.49
2021-07-29,12361.49
2021-07-30,12361.49
2021-07-31,12361.49
2021-08-01,12386.44
2021-08-02,12666.11
2021-08-03,13068.37
2021-08-04,13415.78
2021-08-05,13415.78
2021-08-06,13415.78
2021-08-07,13415.78
2021-08-08,13415.78
2021-08-09,13415.78
2021-08-10,13415.78
2021-08-11,13415.78
2021-08-12,13415.78
2021-08-13,13415.78
2021-08-14,13415.78
2021-08-15,13415.78
2021-08-16,13415.78
2021-08-17,13572.83
2021-08-18,13880.61
2021-08-19,13880.61
2021-08-20,13880.61
2021-08-21,13880.61
2021-08-22,13880.61
2021-08-23,13880.61
2021-08-24,13880.61
2021-08-25,13971.01
2021-08-26,14322.13
2021-08-27,14322.13
2021-08-28,14322.13
2021-08-29,14406.49
2021-08-30,14739.13
2021-08-31,14739.13
2021-09-01,14739.13
2021-09-02,14739.13
2021-09-03,14739.13
2021-09-04,14739.13
2021-09-05,14739.13
2021-09-06,14847.42
2021-09-07,14888.70
2021-09-08,15361.92
2021-09-09,15515.38
2021-09-10,16257.22
2021-09-11,16587.47
2021-09-12,16632.19
2021-09-13,16942.12
2021-09-14,16942.12
2021-09-15,16942.12
2021-09-16,16942.12
2021-09-17,16942.12
2021-09-18,16942.12
2021-09-19,17248.07
2021-09-20,17479.53
2021-09-21,18048.50
2021-09-22,18528.14
2021-09-23,19087.65
2021-09-24,19437.29
2021-09-25,19437.29
2021-09-26,19501.70
2021-09-27,19930.86
2021-09-28,20278.45
2021-09-29,20514.58
2021-09-30,20514.58
2021-10-01,20514.58
2021-10-02,20514.58
2021-10-03,20514.58
2021-10-04,20514.58
2021-10-05,20514.58
2021-10-06,20514.58
2021-10-07,20514.58
2021-10-08,20514.58
2021-10-09,20514.58
2021-10-10,20514.58
2021-10-11,20514.58
2021-10-12,20514.58
2021-10-13,20514.58
2021-10-14,20514.58
2021-10-15,20514.58
2021-10-16,20514.58
2021-10-17,20514.58
2021-10-18,20514.58
2021-10-19,20514.58
2021-10-20,20514.58
2021-10-21,20514.58
2021-10-22,20514.58
2021-10-23,20662.71
2021-10-24,21100.53
2021-10-25,20999.04
2021-10-26,20845.53
2021-10-27,21060.35
2021-10-28,21060.35
2021-10-29,21069.54
2021-10-30,21274.35
2021-10-31,21274.35
2021-11-01,21274.35
2021-11-02,21274.35
2021-11-03,21274.35
2021-11-04,21274.35
2021-11-05,21274.35
2021-11-06,21274.35
2021-11-07,21274.35
2021-11-08,21274.35
2021-11-09,21274.35
2021-11-10,21274.35
2021-11-11,21274.35
2021-11-12,21364.87
2021-11-13,21705.63
2021-11-14,21524.14
2021-11-15,21709.06
2021-11-16,22159.92
2021-11-17,22259.73
2021-11-18,22368.91
2021-11-19,22829.06
2021-11-20,23218.14
2021-11-21,23211.20
2021-11-22,23482.75
2021-11-23,23493.96
2021-11-24,23679.85
2021-11-25,23923.09
2021-11-26,24285.35
2021-11-27,24521.63
2021-11-28,24521.63
2021-11-29,24577.89
2021-11-30,24879.63
2021-12-01,24879.63
2021-12-02,25034.93
