date,equity
2021-07-09,10000.00
2021-07-10,10000.00
2021-07-11,10000.00
2021-07-12,10000.00
2021-07-13,10011.97
2021-07-14,10166.74
2021-07-15,10313.47
2021-07-16,10341.30
2021-07-17,10476.51
2021-07-18,10577.18
2021-07-19,10318.29
2021-07-20,10885.35
2021-07-21,10885.35
2021-07-22,10885.35
2021-07-23,10885.35
2021-07-24,10885.35
2021-07-25,10885.35
2021-07-26,10885.35
2021-07-27,10885.35
2021-07-28,10885.35
2021-07-29,10885.35
2021-07-30,10885.35
2021-07-31,10885.35
2021-08-01,10885.35
2021-08-02,10945.13
2021-08-03,11183.17
2021-08-04,11565.18
2021-08-05,11565.18
2021-08-06,11565.18
2021-08-07,11565.18
2021-08-08,11565.18
2021-08-09,11565.18
2021-08-10,11565.18
2021-08-11,11565.18
2021-08-12,11565.18
2021-08-13,11565.18
2021-08-14,11565.18
2021-08-15,11565.18
2021-08-16,11565.18
2021-08-17,11669.66
2021-08-18,11859.81
2021-08-19,11859.81
2021-08-20,11859.81
2021-08-21,11859.81
2021-08-22,11859.81
2021-08-23,11859.81
2021-08-24,11859.81
2021-08-25,11876.41
2021-08-26,11954.88
2021-08-27,11954.88
2021-08-28,11954.88
2021-08-29,12006.66
2021-08-30,12073.88
2021-08-31,12319.29
2021-09-01,12319.29
2021-09-02,12319.29
2021-09-03,12319.29
2021-09-04,12319.29
2021-09-05,12319.29
2021-09-06,12319.29
2021-09-07,12458.79
2021-09-08,12592.81
2021-09-09,12680.66
2021-09-10,13069.49
2021-09-11,13247.48
2021-09-12,13247.48
2021-09-13,13247.48
2021-09-14,13247.48
2021-09-15,13247.48
2021-09-16,13247.48
2021-09-17,13247.48
2021-09-18,13247.48
2021-09-19,13453.50
2021-09-20,13176.13
2021-09-21,13391.94
2021-09-22,13748.06
2021-09-23,13325.39
2021-09-24,13316.14
2021-09-25,13557.20
2021-09-26,13603.90
2021-09-27,13458.28
2021-09-28,13715.44
2021-09-29,13839.71
2021-09-30,13839.71
2021-10-01,13839.71
2021-10-02,13839.71
2021-10-03,13839.71
2021-10-04,13839.71
2021-10-05,13839.71
2021-10-06,13839.71
2021-10-07,13839.71
2021-10-08,13839.71
2021-10-09,13839.71
2021-10-10,13839.71
2021-10-11,13839.71
2021-10-12,13839.71
2021-10-13,13839.71
2021-10-14,13839.71
2021-10-15,13839.71
2021-10-16,13839.71
2021-10-17,13839.71
2021-10-18,13839.71
2021-10-19,13839.71
2021-10-20,13839.71
2021-10-21,13839.71
2021-10-22,13839.71
2021-10-23,13925.88
2021-10-24,14247.10
2021-10-25,14388.26
2021-10-26,14379.94
2021-10-27,14428.02
2021-10-28,14428.02
2021-10-29,14428.02
2021-10-30,14428.02
2021-10-31,14428.02
2021-11-01,14428.02
2021-11-02,14428.02
2021-11-03,14428.02
2021-11-04,14428.02
2021-11-05,14428.02
2021-11-06,14428.02
2021-11-07,14428.02
2021-11-08,14428.02
2021-11-09,14428.02
2021-11-10,14428.02
2021-11-11,14428.02
2021-11-12,14510.18
2021-11-13,14661.35
2021-11-14,14609.92
2021-11-15,14572.75
2021-11-16,14708.42
2021-11-17,14239.61
2021-11-18,14523.41
2021-11-19,14737.13
2021-11-20,14828.82
2021-11-21,14982.50
2021-11-22,15189.61
2021-11-23,15218.73
2021-11-24,15218.73
2021-11-25,15218.73
2021-11-26,15218.73
2021-11-27,15218.73
2021-11-28,15218.73
2021-11-29,15218.73
2021-11-30,15218.73
2021-12-01,15218.73
2021-12-02,15218.73
