date,equity
2021-07-09,10000.00
2021-07-10,10000.00
2021-07-11,10000.00
2021-07-12,10000.00
2021-07-13,10019.82
2021-07-14,9973.12
2021-07-15,10353.31
2021-07-16,10484.39
2021-07-17,10662.01
2021-07-18,10795.50
2021-07-19,10616.54
2021-07-20,11054.37
2021-07-21,11054.37
2021-07-22,11054.37
2021-07-23,11054.37
2021-07-24,11054.37
2021-07-25,11054.37
2021-07-26,11054.37
2021-07-27,11054.37
2021-07-28,11054.37
2021-07-29,11054.37
2021-07-30,11054.37
2021-07-31,11054.37
2021-08-01,11054.37
2021-08-02,11139.16
2021-08-03,11440.87
2021-08-04,11517.81
2021-08-05,11538.17
2021-08-06,11538.17
2021-08-07,11538.17
2021-08-08,11538.17
2021-08-09,11538.17
2021-08-10,11538.17
2021-08-11,11538.17
2021-08-12,11538.17
2021-08-13,11538.17
2021-08-14,11538.17
2021-08-15,11538.17
2021-08-16,11538.17
2021-08-17,11686.69
2021-08-18,11931.17
2021-08-19,11931.17
2021-08-20,11931.17
2021-08-21,11931.17
2021-08-22,11931.17
2021-08-23,11931.17
2021-08-24,11931.17
2021-08-25,11961.39
2021-08-26,12201.21
2021-08-27,12201.21
2021-08-28,12201.21
2021-08-29,12266.17
2021-08-30,12314.04
2021-08-31,12453.22
2021-09-01,12455.06
2021-09-02,12455.06
2021-09-03,12455.06
2021-09-04,12455.06
2021-09-05,12455.06
2021-09-06,12455.06
2021-09-07,12646.43
2021-09-08,12669.96
2021-09-09,12214.20
2021-09-10,12856.16
2021-09-11,13164.40
2021-09-12,13164.40
2021-09-13,13164.40
2021-09-14,13164.40
2021-09-15,13164.40
2021-09-16,13164.40
2021-09-17,13164.40
2021-09-18,13164.40
2021-09-19,13440.81
2021-09-20,12947.45
2021-09-21,13375.10
2021-09-22,13941.89
2021-09-23,13768.34
2021-09-24,13768.34
2021-09-25,13768.34
2021-09-26,13789.11
2021-09-27,14006.29
2021-09-28,14019.45
2021-09-29,14156.02
2021-09-30,14156.02
2021-10-01,14156.02
2021-10-02,14156.02
2021-10-03,14156.02
2021-10-04,14156.02
2021-10-05,14156.02
2021-10-06,14156.02
2021-10-07,14156.02
2021-10-08,14156.02
2021-10-09,14156.02
2021-10-10,14156.02
2021-10-11,14156.02
2021-10-12,14156.02
2021-10-13,14156.02
2021-10-14,14156.02
2021-10-15,14156.02
2021-10-16,14156.02
2021-10-17,14156.02
2021-10-18,14156.02
2021-10-19,14156.02
2021-10-20,14156.02
2021-10-21,14156.02
2021-10-22,14156.02
2021-10-23,14208.98
2021-10-24,14249.49
2021-10-25,14325.34
2021-10-26,13785.17
2021-10-27,13982.48
2021-10-28,13987.77
2021-10-29,13987.77
2021-10-30,13987.77
2021-10-31,13987.77
2021-11-01,13987.77
2021-11-02,13987.77
2021-11-03,13987.77
2021-11-04,13987.77
2021-11-05,13987.77
2021-11-06,13987.77
2021-11-07,13987.77
2021-11-08,13987.77
2021-11-09,13987.77
2021-11-10,13987.77
2021-11-11,13987.77
2021-11-12,14096.72
2021-11-13,14258.61
2021-11-14,14199.70
2021-11-15,14058.51
2021-11-16,14330.75
2021-11-17,13762.50
2021-11-18,14496.87
2021-11-19,14606.40
2021-11-20,14826.35
2021-11-21,14679.78
2021-11-22,14888.58
2021-11-23,14897.54
2021-11-24,15152.16
2021-11-25,15260.11
2021-11-26,15296.28
2021-11-27,15451.00
2021-11-28,15451.00
2021-11-29,15475.29
2021-11-30,15804.18
2021-12-01,15804.18
2021-12-02,15804.18
