date,ICT Liquidity Sweep,Trend Following (EMA+ADX),Mean Reversion (RSI+BB),Breakout (20d Range)
2021-07-09,10000.00,10000.00,10000.00,10000.00
2021-07-10,10000.00,10000.00,10000.00,10000.00
2021-07-11,10000.00,10000.00,10000.00,10000.00
2021-07-12,10000.00,10000.00,10000.00,10000.00
2021-07-13,10000.00,8006.40,10000.00,10000.00
2021-07-14,7941.92,7948.21,10000.00,10000.00
2021-07-15,9913.55,7919.78,10000.00,10000.00
2021-07-16,7939.98,7928.63,10000.00,10000.00
2021-07-17,7956.38,7944.48,10000.00,10000.00
2021-07-18,9878.55,7885.95,10000.00,10000.00
2021-07-19,9878.55,7821.72,10000.00,8783.11
2021-07-20,9878.55,10036.51,10000.00,8872.53
2021-07-21,9878.55,8044.05,10000.00,8878.63
2021-07-22,9878.55,8127.44,10000.00,8929.69
2021-07-23,9878.55,8167.60,10000.00,8954.28
2021-07-24,9878.55,9835.24,10000.00,8995.76
2021-07-25,9878.55,9835.24,10000.00,9755.02
2021-07-26,9878.55,9835.24,10000.00,8894.99
2021-07-27,9878.55,9835.24,10000.00,8908.07
2021-07-28,7902.87,7868.21,10000.00,8908.09
2021-07-29,9769.88,7976.39,10000.00,8962.11
2021-07-30,9769.88,7939.18,10000.00,8943.53
2021-07-31,7740.34,7860.36,10000.00,9818.86
2021-08-01,9879.00,7825.37,10000.00,9818.86
2021-08-02,9879.00,7777.74,10000.00,9818.86
2021-08-03,9879.00,7853.87,10000.00,9818.86
2021-08-04,9879.00,9877.41,10000.00,9818.86
2021-08-05,9879.00,8330.26,10000.00,9818.86
2021-08-06,9879.00,8400.45,10000.00,9222.62
2021-08-07,9879.00,8369.04,10000.00,9211.15
2021-08-08,9767.88,8467.01,10000.00,9246.92
2021-08-09,9767.88,8439.52,10000.00,9236.88
2021-08-10,7812.41,8437.76,10000.00,9236.24
2021-08-11,7763.95,10018.01,10000.00,9841.69
2021-08-12,9672.27,8420.40,10000.00,9841.69
2021-08-13,9672.27,8391.93,10000.00,9841.69
2021-08-14,7734.28,8388.57,10000.00,9841.69
2021-08-15,7689.57,10076.51,10000.00,9841.69
2021-08-16,9771.56,8216.72,10000.00,9841.69
2021-08-17,9771.56,8217.91,10000.00,9841.69
2021-08-18,9771.56,8298.61,10000.00,9841.69
2021-08-19,9771.56,8400.14,10000.00,9841.69
2021-08-20,9771.56,8381.66,10000.00,9841.69
2021-08-21,7834.12,8398.29,10000.00,9841.69
2021-08-22,7843.37,8407.41,10000.00,9841.69
2021-08-23,7770.16,10146.02,10000.00,9841.69
2021-08-24,7822.39,10146.02,10000.00,9841.69
2021-08-25,9852.17,10146.02,10000.00,9841.69
2021-08-26,9852.17,10146.02,10000.00,9841.69
2021-08-27,9852.17,10146.02,10000.00,9841.69
2021-08-28,9852.17,10146.02,10000.00,9841.69
2021-08-29,9852.17,10146.02,10000.00,9841.69
2021-08-30,9852.17,10146.02,10000.00,9841.69
2021-08-31,9852.17,10146.02,10000.00,9841.69
2021-09-01,9852.17,10146.02,10000.00,9841.69
2021-09-02,9852.17,10146.02,10000.00,9841.69
2021-09-03,9852.17,10146.02,10000.00,9841.69
2021-09-04,9852.17,10146.02,10000.00,9841.69
2021-09-05,9852.17,10146.02,10000.00,9841.69
2021-09-06,9852.17,10146.02,10000.00,9841.69
2021-09-07,9852.17,10146.02,10000.00,9841.69
2021-09-08,9852.17,10146.02,10000.00,9841.69
2021-09-09,9852.17,10146.02,10000.00,9841.69
2021-09-10,9852.17,10146.02,10000.00,9841.69
2021-09-11,9852.17,10146.02,10000.00,9841.69
2021-09-12,9852.17,10146.02,10000.00,9841.69
2021-09-13,7976.86,10146.02,10000.00,9841.69
2021-09-14,9991.97,10146.02,10000.00,9841.69
2021-09-15,9991.97,10146.02,10000.00,9841.69
2021-09-16,9991.97,10146.02,10000.00,9841.69
2021-09-17,9991.97,10146.02,10000.00,9841.69
2021-09-18,9991.97,10146.02,10000.00,9841.69
2021-09-19,9991.97,10146.02,10000.00,9841.69
2021-09-20,9991.97,10146.02,10000.00,8952.60
2021-09-21,9991.97,10146.02,10000.00,9009.06
2021-09-22,9991.97,10146.02,10000.00,9035.02
2021-09-23,9991.97,10146.02,10000.00,8994.73
2021-09-24,9991.97,10146.02,10000.00,8992.24
2021-09-25,9991.97,8424.05,10000.00,9001.69
2021-09-26,9991.97,8382.71,10000.00,9856.23
2021-09-27,9991.97,8336.61,10000.00,9856.23
2021-09-28,9991.97,8356.29,10000.00,9856.23
2021-09-29,10102.14,8449.63,10000.00,9856.23
2021-09-30,10102.14,9924.16,10000.00,9856.23
2021-10-01,10102.14,9924.16,10000.00,9856.23
2021-10-02,10102.14,9924.16,10000.00,9856.23
2021-10-03,10102.14,9924.16,10000.00,9856.23
2021-10-04,10102.14,9924.16,10000.00,9856.23
2021-10-05,10102.14,8087.37,10000.00,9055.73
2021-10-06,10102.14,10012.53,10000.00,9894.74
2021-10-07,10102.14,8029.20,10000.00,9894.74
2021-10-08,8119.86,8066.87,10000.00,9894.74
2021-10-09,8109.83,8056.96,10000.00,9894.74
2021-10-10,9969.20,8160.43,10000.00,9894.74
2021-10-11,9969.20,10094.37,10000.00,9894.74
2021-10-12,9969.20,8124.45,10000.00,9894.74
2021-10-13,9969.20,8124.09,10000.00,9894.74
2021-10-14,9818.84,8280.01,10000.00,9894.74
2021-10-15,9818.84,8250.92,10000.00,9302.86
2021-10-16,9818.84,8274.09,10000.00,9308.95
2021-10-17,9818.84,8292.74,10000.00,9313.85
2021-10-18,9818.84,8373.69,10000.00,9335.12
2021-10-19,9818.84,8436.30,10000.00,9351.57
2021-10-20,9818.84,10320.48,10000.00,9316.18
2021-10-21,9818.84,8203.68,10000.00,9301.11
2021-10-22,9818.84,8224.21,10000.00,9306.98
2021-10-23,9818.84,8209.31,10000.00,9302.72
2021-10-24,9818.84,8283.06,10000.00,9908.03
2021-10-25,9818.84,8191.15,10000.00,9908.03
2021-10-26,9818.84,8129.80,10000.00,9908.03
2021-10-27,9818.84,8200.91,10000.00,9908.03
2021-10-28,9818.84,8256.33,10000.00,9908.03
2021-10-29,9818.84,8243.39,10000.00,9908.03
2021-10-30,9818.84,10289.52,10000.00,9908.03
2021-10-31,9818.84,10289.52,10000.00,9908.03
2021-11-01,9818.84,10289.52,10000.00,9908.03
2021-11-02,9818.84,10289.52,10000.00,9908.03
2021-11-03,9818.84,10289.52,10000.00,9908.03
2021-11-04,9818.84,10289.52,10000.00,9908.03
2021-11-05,9818.84,10289.52,10000.00,9908.03
2021-11-06,9818.84,10289.52,10000.00,9908.03
2021-11-07,9818.84,10289.52,10000.00,9908.03
2021-11-08,9818.84,8213.03,10000.00,8474.38
2021-11-09,7796.01,8151.70,10000.00,8432.03
2021-11-10,7792.92,8148.49,10000.00,8429.82
2021-11-11,7773.43,8128.25,10000.00,8415.84
2021-11-12,7780.86,8135.97,10000.00,8421.17
2021-11-13,9860.80,8169.46,10000.00,8444.29
2021-11-14,9860.80,8111.73,10000.00,8404.43
2021-11-15,9860.80,10062.85,10000.00,8330.71
2021-11-16,9860.80,10062.85,10000.00,8336.11
2021-11-17,9860.80,10062.85,10000.00,9684.69
2021-11-18,9860.80,10062.85,10000.00,8788.80
2021-11-19,7944.05,10062.85,10000.00,8815.06
2021-11-20,7907.79,10062.85,10000.00,8797.88
2021-11-21,7826.45,10062.85,10000.00,8759.33
2021-11-22,7869.31,10062.85,10000.00,8779.64
2021-11-23,7856.03,10062.85,10000.00,8773.35
2021-11-24,7916.82,10062.85,10000.00,8802.16
2021-11-25,9713.30,10062.85,10000.00,8718.90
2021-11-26,9713.30,10062.85,10000.00,8735.24
2021-11-27,9713.30,10062.85,10000.00,9678.24
2021-11-28,7787.86,10062.85,10000.00,9678.24
2021-11-29,7758.57,10062.85,10000.00,9678.24
2021-11-30,7767.13,10062.85,10000.00,9678.24
2021-12-01,7743.24,10062.85,10000.00,9678.24
2021-12-02,7646.34,10062.85,10000.00,9678.24
2021-12-03,9439.24,10062.85,10000.00,9678.24
2021-12-04,9439.24,8629.13,10000.00,9123.08
2021-12-05,9439.24,8660.93,10000.00,9135.40
2021-12-06,9439.24,8663.28,10000.00,9136.31
2021-12-07,9439.24,8659.77,10000.00,9134.95
2021-12-08,9439.24,8574.39,10000.00,9101.89
2021-12-09,9439.24,8562.61,10000.00,9097.33
2021-12-10,9439.24,8627.17,10000.00,9122.32
2021-12-11,7578.58,8647.98,10000.00,9130.38
2021-12-12,9337.30,8549.16,10000.00,9092.12
2021-12-13,9337.30,10087.88,10000.00,9687.93
2021-12-14,9337.30,8670.53,10000.00,9687.93
2021-12-15,9337.30,8633.56,10000.00,9687.93
2021-12-16,9337.30,8590.00,10000.00,9687.93
2021-12-17,7498.05,8610.64,10000.00,9687.93
2021-12-18,7491.40,8605.77,10000.00,9687.93
2021-12-19,7500.15,8612.18,10000.00,9687.93
2021-12-20,9448.68,8671.49,10000.00,9687.93
2021-12-21,9448.68,8662.53,10000.00,9687.93
2021-12-22,9448.68,8728.09,10000.00,9687.93
2021-12-23,9448.68,10015.29,10000.00,9687.93
2021-12-24,9448.68,10015.29,10000.00,9687.93
2021-12-25,9448.68,10015.29,10000.00,9687.93
2021-12-26,9448.68,10015.29,10000.00,9687.93
2021-12-27,9567.11,10015.29,10000.00,9687.93
2021-12-28,9567.11,10015.29,10000.00,9687.93
2021-12-29,9567.11,10015.29,10000.00,9687.93
2021-12-30,9567.11,10015.29,10000.00,9687.93
2021-12-31,9567.11,10015.29,10000.00,9687.93
2022-01-01,9567.11,10015.29,10000.00,9687.93
2022-01-02,9567.11,10015.29,10000.00,9687.93
2022-01-03,9567.11,10015.29,10000.00,9687.93
2022-01-04,9467.23,10015.29,10000.00,9687.93
2022-01-05,9467.23,8023.95,10000.00,8707.14
2022-01-06,9399.10,7953.40,10000.00,8672.39
2022-01-07,9399.10,7959.90,10000.00,8675.59
2022-01-08,7527.53,7968.22,10000.00,8679.69
2022-01-09,7525.86,7966.54,10000.00,8678.86
2022-01-10,7566.91,10046.65,10000.00,9703.38
2022-01-11,7619.97,8092.64,10000.00,9703.38
2022-01-12,9439.18,8029.45,10000.00,9703.38
2022-01-13,9439.18,8053.63,10000.00,9703.38
2022-01-14,9439.18,8053.58,10000.00,9703.38
2022-01-15,9439.18,8054.12,10000.00,9703.38
2022-01-16,9439.18,8012.94,10000.00,9703.38
2022-01-17,7557.98,8019.92,10000.00,9703.38
2022-01-18,7526.77,7987.11,10000.00,9703.38
2022-01-19,9370.89,7941.14,10000.00,9703.38
2022-01-20,9370.89,10341.58,10000.00,9703.38
2022-01-21,9370.89,8416.33,10000.00,9064.99
2022-01-22,9370.89,8477.97,10000.00,9085.43
2022-01-23,9370.89,8499.06,10000.00,9092.42
2022-01-24,7531.61,8512.95,10000.00,9097.02
2022-01-25,7524.21,8505.49,10000.00,9094.55
2022-01-26,7542.41,8523.82,10000.00,9100.63
2022-01-27,7570.42,8552.04,10000.00,9109.98
2022-01-28,7592.64,8574.42,10000.00,9117.41
2022-01-29,7578.69,8560.36,10000.00,9112.75
